Category,Question,Tag,Answer,Language,Active
關於我們,可供購買產品,,用家想知道有甚麼產品可供購買,zh-hk,True
關於我們,可供購買產品,我有咩可以買?,,zh-hk,True
關於我們,可供購買產品,你地有咩產品provide?,,zh-hk,True
關於我們,可供購買產品,我可以喺邊度睇到產品資料,,zh-hk,True
關於我們,可供購買產品,依家有咩產品提供?,,zh-hk,True
關於我們,可供購買產品,你地有咩product可以provide?,,zh-hk,True
關於我們,可供購買產品,有咩可以係你地度買?,,zh-hk,True
關於我們,可供購買產品,你地有咩賣?,,zh-hk,True
關於我們,可供購買產品,可以買d咩?,,zh-hk,True
關於我們,可供購買產品,有咩可以比我買?,,zh-hk,True
關於我們,基本資料,,用家查詢其他關於公司的資料,zh-hk,True
關於我們,基本資料,你地公司做咩架?,,zh-hk,True
關於我們,基本資料,我想知道你地公司嘅資料,,zh-hk,True
關於我們,基本資料,可唔可以介紹下間公司?,,zh-hk,True
關於我們,基本資料,講下你地間公司,,zh-hk,True
關於我們,基本資料,簡單介紹下你地公司,,zh-hk,True
關於我們,基本資料,可唔可以比你間公司嘅basic information我?,,zh-hk,True
關於我們,基本資料,有咩關於你公司?,,zh-hk,True
關於我們,基本資料,你間公司係點運作嘅?,,zh-hk,True
關於我們,基本資料,呢間公司係做咩嘅?,,zh-hk,True
關於我們,基本資料,你間公司係provide咩服務嘅?,,zh-hk,True
關於我們,店舖位置,,用家想了解店舖的位置,zh-hk,True
關於我們,店舖位置,舖頭喺邊?,,zh-hk,True
關於我們,店舖位置,我可以去邊度揾到舖頭?,,zh-hk,True
關於我們,店舖位置,舖頭嘅地址係咩?,,zh-hk,True
關於我們,店舖位置,間舖頭喺邊度?,,zh-hk,True
關於我們,店舖位置,點樣去間舖頭?,,zh-hk,True
關於我們,店舖位置,間舖係邊?,,zh-hk,True
關於我們,店舖服務,,用家想了解店舖有甚麼服務可以提供,zh-hk,True
關於我們,店舖服務,唔同店舖提供嘅服務會唔會有分別?,,zh-hk,True
關於我們,店舖服務,店舖會提供咩服務?,,zh-hk,True
關於我們,店舖服務,有咩service店舖可以提供?,,zh-hk,True
關於我們,店舖服務,間舖頭會provide咩服務架?,,zh-hk,True
關於我們,店舖服務,間舖頭可以幫我做咩?,,zh-hk,True
關於我們,店舖營業時間,,用家想知道店舖的營業時間,zh-hk,True
關於我們,店舖營業時間,舖頭幾點開門?,,zh-hk,True
關於我們,店舖營業時間,你地幾時收工?,,zh-hk,True
關於我們,店舖營業時間,舖頭個business hour?,,zh-hk,True
關於我們,店舖營業時間,間鋪頭嘅營業時間係幾時?,,zh-hk,True
關於我們,店舖營業時間,舖頭幾點開幾點閂?,,zh-hk,True
關於我們,店舖營業時間,舖頭幾點閂門?,,zh-hk,True
關於我們,店舖電話號碼,,用家想查詢店舖的電話號碼,zh-hk,True
關於我們,店舖電話號碼,我想知道店舖嘅電話號碼,,zh-hk,True
關於我們,店舖電話號碼,店舖嘅電話號碼係咩?,,zh-hk,True
關於我們,店舖電話號碼,舖頭嘅電話number係咩?,,zh-hk,True
關於我們,店舖電話號碼,間鋪頭嘅電話no.係幾號?,,zh-hk,True
關於我們,店舖電話號碼,比間鋪頭嘅電話號碼我,,zh-hk,True
關於我們,更改預約,,用家想更改預約,zh-hk,True
關於我們,更改預約,我想改booking,,zh-hk,True
關於我們,更改預約,我想改appointment,,zh-hk,True
關於我們,更改預約,點樣改期?,,zh-hk,True
關於我們,更改預約,可唔可以改預約?,,zh-hk,True
關於我們,更改預約,點樣改時間?,,zh-hk,True
關於我們,更改預約,"我想改時間,應該點做?",,zh-hk,True
關於我們,聯絡我們,,用家想查詢公司的聯絡資料,zh-hk,True
關於我們,聯絡我們,你地公司嘅聯絡方式,,zh-hk,True
關於我們,聯絡我們,你地公司嘅聯絡資料,,zh-hk,True
關於我們,聯絡我們,點樣comtact到你地?,,zh-hk,True
關於我們,聯絡我們,你地公司個電話號碼係咩?,,zh-hk,True
關於我們,聯絡我們,點樣聯絡到你地?,,zh-hk,True
關於我們,聯絡我們,點樣contact到你地?,,zh-hk,True
關於我們,聯絡我們,點樣搵你地?,,zh-hk,True
關於我們,聯絡我們,可不可以比間你地嘅聯絡資料我?,,zh-hk,True
關於我們,聯絡我們,可不可以比間你地嘅contact我?,,zh-hk,True
關於我們,職位空缺,,用家想查詢有甚麼職位空缺,zh-hk,True
關於我們,職位空缺,有無職位空缺?,,zh-hk,True
關於我們,職位空缺,你地請唔請人?,,zh-hk,True
